HOLMES	WATSON	OLD FELLOW
HOLMES	WATSON	WATSON
HOLMES	WATSON	MY DEAR FELLOW
WATSON	HOLMES	HOLMES
HOLMES	WATSON	MY DEAR CHAP
HOLMES	KING	SIR
HOLMES	WATSON	DR. WATSON
WATSON	KING	SIR
HOLMES	KING	SIR
KING	HOLMES	MR. HOLMES
HOLMES	KING	SIR
HOLMES	KING	YOUR MAJESTY
KING	HOLMES	MR. HOLMES
WATSON	KING	YOUR MAJESTY
HOLMES	WATSON	WATSON
HOLMES	WATSON	OLD CHAP
HOLMES	KING	YOUR MAJESTY
WATSON	KING	YOUR MAJESTY
HOLMES	KING	YOUR MAJESTY
WATSON	KING	YOUR MAJESTY
KING	WATSON	DR. WATSON
KING	HOLMES	MR. HOLMES
WATSON	KING	YOUR MAJESTY
HOLMES	KING	SIR
HOLMES	KING	YOUR MAJESTY
HOLMES	KING	YOUR MAJESTY
KING	HOLMES	MR. HOLMES
KING	WATSON	DR. WATSON
WATSON	KING	YOUR MAJESTY
WATSON	HOLMES	HOLMES
HOLMES	WATSON	MY DEAR CHAP
WATSON	HOLMES	HOLMES
HOLMES	WATSON	MY DEAR FELLOW
WATSON	HOLMES	HOLMES
HOLMES	WATSON	OLD CHAP
WATSON	HOLMES	HOLMES
HOLMES	WATSON	WATSON
HOLMES	WATSON	WATSON
HOLMES	WATSON	WATSON
ANNOUNCER	WATSON	DR. WATSON
ANNOUNCER	HOLMES	SHERLOCK HOLMES
WATSON	HOLMES	HOLMES
WATSON	HOLMES	HOLMES
HOLMES	WATSON	WATSON
HOLMES	WATSON	WATSON
WATSON	HOLMES	HOLMES
HOLMES	WATSON	WATSON
WATSON	HOLMES	HOLMES
HOLMES	WATONS	MY DEAR FELLOW
HOLMES	WATSON	MY DEAR FELLOW
HOLMES	WATSON	OLD FELLOW
WATSON	HOLMES	HOLMES
HOLMES	WATSON	OLD CHAP
HOLMES	WATSON	WATSON
HATTIE	HOLMES	SHERLOCK HOLMES
WATSON	HOLMES	MR. HOLMES
WATSON	HOLMES	HOLMES
HOLMES	WATSON	OLD CHAP
HOLMES	WATSON	MY DEAR FELLOW
HOLMES	WATSON	MY DEAR CHAP
WATSON	KING	YOUR MAJESTY
KING	HOLMES	MR. HOLMES
HOLMES	KING	YOUR MAJESTY
HOLMES	KING	YOUR MAJESTY
MAID	HOLMES	SHERLOCK HOLMES
HOLMES	HOLMES	MR. HOLMES
KING	HOLMES	MR. HOLMES
HOLMES	KING	YOUR MAJESTY
WATSON	HOLMES	HOLMES
HOLMES	HOLMES	SHERLOCK HOLMES
